Id,Word,Transcription,Definition,Example
3549,moist,mɔɪst,"When something is moist, it is slightly wet.",The ground is still moist from the rain last night.
3550,nope,nəʊp,Nope is an informal way of saying “no.”,"He asked if I had any money, and I had to say, “Nope.”"
3551,prod,prɑːd,To prod means to push someone or something with a finger or pointed object.,The bully prodded me in the chest with her finger.
3552,ransom,ˈrænsəm,A ransom is a sum of money paid to a kidnapper to set the person free.,He kidnapped the prince and demanded $1 million as a ransom.
3553,restrain,rɪˈstreɪn,To restrain someone or something means to use physical strength to stop them.,Mike restrained Allen from reaching the door.
3554,saliva,səˈlaɪvə,Saliva is the watery liquid in people’s mouths that helps in digestion.,The baby could not keep the saliva from dripping out of its mouth.
3555,spit,spɪt,To spit means to force liquid from one’s mouth.,He emerged from the pool and spit water from his mouth.
3556,sprint,sprɪnt,To sprint means to run very fast over a short distance.,"The kids didn’t want to be late to class, so they sprinted to the bus stop."
3557,stunt,stʌnt,A stunt is something that is done in order to get attention or publicity.,The man jumped over the cars as a promotional stunt.
3558,tolerant,ˈtɑːlərənt,"When people are tolerant, they are respectful of others’ rights and beliefs.",The tolerant leader thought that everyone was equal regardless of race.
3559,vampire,ˈvæmpaɪər,A vampire is a fictional monster that sleeps in a coffin and sucks people’s blood.,The vampire snuck up on the woman and bit her neck.
3560,yawn,jɔːn,To yawn means to open one’s mouth wide and breathe in air.,The child yawned and stretched her arms before going to bed for the night.
3561,adjoining,əˈdʒɔɪnɪŋ,"If something is adjoining, it is next to or joined with a building or room.",I couldn’t sleep because the people in the adjoining room were loud.
3562,allege,əˈledʒ,To allege something is to say that it is true without offering proof.,The little girl had alleged that her older brother hid her favorite doll.
3563,arch,ɑːrtʃ,An arch is a curved opening formed under a structure such as a bridge or doorway.,The arch of the bridge was not high enough for the tall boat to pass underneath.
3564,assemble,əˈsembl,To assemble means to get together in one place.,The parents assembled to discuss ways to improve their children’s education.
3565,casualty,ˈkæʒuəlti,A casualty is a person killed or injured in a war or an accident.,The only casualty in the car accident was a woman who broke her arm.
3566,erect,ɪˈrekt,To erect something means to build it.,The king erected two towers on the north and south sides of his castle.
3567,foul,faʊl,"If something is foul, then it is very unpleasant.",He wouldn’t let his dog drink from the water because it had a foul smell.
3568,hectare,ˈhektɑː(r),"A hectare is a unit of measure equal to 10,000 square meters.",His family farm covered many hectares.
3569,heighten,ˈhaɪtn,To heighten an emotion means to increase the intensity of it.,The pleasant music heightened their enjoyment of the wonderful dinner.
3570,hospitality,ˌhɑːspɪˈtæləti,"Hospitality is friendly behavior and entertainment, shown to guests or strangers.",The travelers were amazed at the hospitality given them by the hotel’s staff.
3571,mansion,ˈmænʃn,A mansion is a large and expensive home.,"The mansion had thirty bedrooms, two kitchens, and a pool."
3572,outnumber,ˌaʊtˈnʌmbər,To outnumber a group means to have a greater number than it.,The girls outnumbered the boys at the school by four to one.
3573,overjoyed,ˌəʊvərˈdʒɔɪd,"If someone is overjoyed, then they are extremely happy.",He was overjoyed by the news of his promotion.
3574,pasture,ˈpæstʃər,A pasture is an area of land covered with grass for animals to use as food.,The sheep were taken to a pasture where there was more grass.
3575,petition,pəˈtɪʃn,A petition is a written request asking an authority to do something.,The citizens all signed a petition asking the mayor to repair the sidewalks.
3576,renovate,ˈrenəveɪt,"To renovate a building means to repair it, or to build new structures on it.",The old fire station was renovated into an apartment building.
3577,revise,rɪˈvaɪz,"To revise something means to change it, or update it to make it better.","When the editor discovered certain facts were wrong, he revised the book."
3578,slab,slæb,"A slab is a large, thick, flat piece of stone, concrete, metal, or wood.",I looked at various slabs of stone to decorate my house.
3579,terrace,ˈterəs,A terrace is an open area that is connected to a house or an apartment.,"In the afternoons, she liked to sit on the terrace and check her email."
3580,turf,tɜːrf,Turf is a section of grass and the dirt in which it grows.,"After the game, the turf looked ragged."
3581,analogous,əˈnæləɡəs,"If something is analogous to another thing, then it is like it in certain ways.",The relationship with his teacher was analogous to that of a son and mother.
3582,binoculars,bɪˈnɑːkjələrz,Binoculars are a device used for seeing things that are far away.,He could see the ship on the horizon only if he used his binoculars.
3583,bulk,bʌlk,The bulk of something is its size.,The large elephant moved its bulk with legs as strong as tree trunks.
3584,comprise,kəmˈpraɪz,"If something comprises something else, it consists of or is made up of it.",Our school’s football team is mostly comprised with seniors.
3585,depict,dɪˈpɪkt,"To depict something means to show or portray it, often using art.",The statue’s face depicted the general’s determination and courage.
3586,dual,ˈduːəl,"If something is dual, then it is made up of two parts.","The room had a dual function. It was a living room, but at night it was a bedroom."
3587,Fahrenheit,fǽrənhàit,Fahrenheit is a temperature scale where water freezes at 32° and boils at 212°.,"When the temperature dropped to 32° Fahrenheit, it started snowing."
3588,fulfill,fulfíl,To fulfill something means to achieve or finish it.,The professor did not fulfill his promise not to miss a single class.
3589,grove,ɡrəʊv,A grove is a small group of trees.,All the trees in this grove are apple trees.
3590,ore,ɔːr,Ore is the raw form of rock or material from which a valuable metal is taken.,The factory melted the ore and used it to make iron products.
3591,outback,ˈaʊtbæk,The outback is the wild inland region of Australia where very few people live.,Many Australian farmers use the outback to raise cattle.
3592,outweigh,ˌaʊtˈweɪ,"To outweigh something means to exceed it in value, amount, or importance.",Finding a warm place to sleep outweighed the need to find something to eat.
3593,paradox,ˈpærədɑːks,A paradox is a true statement or real event that seems illogical.,"The paradox of her work was that the less she worked, the more she got done."
3594,pier,pɪr,A pier is a structure that extends into a body of water.,"If you want to catch bigger fish, then go to the far end of the pier."
3595,shortcut,ˈʃɔːrtkʌt,A shortcut is a route that is shorter than the main route.,We got to the house early because we took a shortcut through the forest.
3596,tariff,ˈtærɪf,A tariff is a tax or fee paid on certain imports or exports.,Our tariff on imported wool makes foreign wool more expensive.
3597,thermometer,θərˈmɑːmɪtər,A thermometer is a device that measures temperature.,The thermometer outside the window indicated that it was a hot day today.
3598,tilt,tɪlt,To tilt something means to tip it into a sloping position.,She tilted her glass and almost spilled some of the wine inside.
3599,vice versa,váisə və́ːrsə,"If a statement is vice versa, then its two main ideas are switched with one another.","Students learn from their teachers, and vice versa."
3600,whereabouts,ˈwerəbaʊts,The whereabouts of someone or something is the place where they are.,"The police looked for the lost dog, but its whereabouts were still unknown."
